panel,feature,n_dense,n_projection,dense_median,dense_iqr_lo,dense_iqr_hi,projection_median,projection_iqr_lo,projection_iqr_hi,dense_mean,dense_sd,projection_mean,projection_sd,mannwhitney_p,cliffs_delta,auc,auc_signed,cut_youden,cut_threshold,cut_direction,cut_sensitivity,cut_specificity,cut_balanced_acc,cut_accuracy
neuropil_FC,neuropil_voxels,147,103,89311.0,54465.0,132736.0,24767.0,17675.5,37667.0,101030.45578231293,64634.984705285446,34358.73786407767,27162.21749010251,3.0836296448321873e-25,0.7716134997688395,0.8858067498844198,0.8858067498844198,0.6475133742817516,30724.5,>=,0.9387755102040817,0.7087378640776699,0.8237566871408758,0.844
neuropil_FC,total_voxels,147,103,112206.0,63107.0,157150.0,32877.0,23876.5,48115.5,120601.30612244898,74896.23991966671,43386.88349514563,31691.702156162595,1.2119209725619184e-24,0.7618387160689519,0.880919358034476,0.880919358034476,0.616405785615217,42148.0,>=,0.8979591836734694,0.7184466019417476,0.8082028928076085,0.824
neuropil_FC,sidetot_top2,147,103,0.1358629552286756,0.09359035416514715,0.16995073577996156,0.2513270919795387,0.17946543737251475,0.2818623608417147,0.13785932748274357,0.06413022508914017,0.2373601747325844,0.06935301618650291,1.328441918702749e-20,-0.6918301301102965,0.8459150650551482,0.15408493494485173,0.554190608282148,0.18938608091560039,<=,0.8163265306122449,0.7378640776699029,0.777095304141074,0.784
neuropil_FC,regiontot_top2,147,103,0.1461153031703898,0.09010127608339885,0.2226044918891148,0.278730941013399,0.19423310147994727,0.3277070880138965,0.15697692507173006,0.08468672823602369,0.2593772381731414,0.09320039178713198,3.696764274293976e-15,-0.5847037844263919,0.792351892213196,0.20764810778680404,0.465755234132488,0.21455146916272666,<=,0.7278911564625851,0.7378640776699029,0.732877617066244,0.732
neuropil_FC,sidetot_n_above_20pct,147,103,1.0,1.0,1.0,2.0,1.0,2.0,1.1020408163265305,0.5702041676830892,1.7184466019417475,0.47315121589306436,4.0169307390742595e-17,-0.5543226999537679,0.7771613499768839,0.22283865002311604,0.5512845915065054,1.5,<=,0.8231292517006803,0.7281553398058253,0.7756422957532527,0.784
neuropil_FC,sidetot_balance21,147,103,0.306484443152079,0.1705494881521131,0.6726635238825207,0.6649158942670786,0.5389187291205904,0.8522967939672297,0.4047679727532904,0.2937026906712459,0.6628916231564971,0.22485190198942087,1.9255478267203976e-11,-0.4989762895449442,0.7494881447724722,0.2505118552275279,0.49970279373885473,0.5100158211296484,<=,0.6938775510204082,0.8058252427184466,0.7498513968694274,0.74
neuropil_FC,regiontot_balance21,147,103,0.327224087882065,0.14486272392705507,0.6459104794954678,0.7381503471872799,0.48994360607030285,0.8830312612424114,0.4057655985366522,0.289472317442312,0.6650983164738271,0.26346627032386805,6.485929664467161e-11,-0.48563503071131364,0.7428175153556569,0.2571824846443432,0.40155868172511733,0.46527678252881366,<=,0.6054421768707483,0.7961165048543689,0.7007793408625587,0.684
neuropil_FC,other_fraction,147,103,0.1611086572438162,0.12461157650576775,0.19926403913782706,0.224861710994923,0.173906670591113,0.2903980797019668,0.16627041306311996,0.07267832648029003,0.2310993937320134,0.08780626339209449,3.166051947462929e-10,-0.46767056337097945,0.7338352816854897,0.2661647183145103,0.3910573938313189,0.20592518213146693,<=,0.7891156462585034,0.6019417475728155,0.6955286969156594,0.712
neuropil_FC,neuropil_fraction,147,103,0.8388913427561837,0.8007359608621729,0.8753884234942322,0.7751382890050769,0.7096019202980332,0.826093329408887,0.83372958693688,0.07267832648029002,0.7689006062679864,0.08780626339209446,3.166051947462929e-10,0.46767056337097945,0.7338352816854897,0.7338352816854897,0.3910573938313189,0.7940748178685331,>=,0.7891156462585034,0.6019417475728155,0.6955286969156594,0.712
neuropil_FC,sidetot_dominance_gap,147,103,0.3024892081440273,0.10449268117274295,0.5148527520245048,0.1109483850538315,0.049952855819813555,0.19171732863108995,0.32726892849338496,0.24377653098007485,0.1452465817578091,0.13371787561389453,4.283996796838196e-09,0.436629020540255,0.7183145102701275,0.7183145102701275,0.44812099597120403,0.2604623338063248,>=,0.564625850340136,0.883495145631068,0.724060497985602,0.696
